1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
420	-0.748114	198.985031	14.644970	0.028177	0.7
421	-0.766402	199.985031	14.578698	0.023712	0.7
422	-0.744150	199.182249	14.631852	0.018915	0.7
423	-0.727086	198.381302	14.685272	0.024483	1.2
424	-0.721413	197.578520	14.739207	0.028499	0.8
425	-0.702062	198.578520	14.672082	0.025404	0.8
426	-0.742895	199.578520	14.605566	0.023203	0.7
427	-0.735650	200.578520	14.539650	0.023314	0.7
428	-0.745983	200.670117	14.533642	0.025184	0.7
429	-0.747423	201.670011	14.468379	0.030274	0.7
430	-0.748674	202.670011	14.403693	0.019281	0.7
431	-0.747580	201.867235	14.455575	0.022474	0.7
432	-0.730716	201.064521	14.507829	0.028015	0.7
433	-0.722549	202.064521	14.442790	0.021809	0.7
434	-0.734353	201.261739	14.494956	0.030038	0.7
435	-0.716448	200.458960	14.547499	0.020957	0.6
436	-0.748631	199.656178	14.600425	0.028491	0.8
437	-0.726664	200.656178	14.534556	0.025870	0.7
438	-0.755590	201.656178	14.469278	0.025432	0.7
439	-0.771727	202.656178	14.404583	0.029186	0.7
440	-0.744599	203.656178	14.340465	0.022098	0.7
441	-0.739604	202.853396	14.391893	0.023456	0.7
442	-0.719970	203.853396	14.327887	0.027843	0.7
443	-0.721807	203.051249	14.379184	0.019731	0.7
444	-0.740720	202.248470	14.430890	0.025886	0.7
445	-0.768903	203.248470	14.366538	0.031616	1.7
446	-0.751147	204.248470	14.302757	0.022769	0.8
447	-0.774751	205.248470	14.239540	0.027204	0.7
448	-0.704501	204.445688	14.290245	0.020720	0.7
449	-0.732751	205.445688	14.227138	0.023393	0.7
450	-0.706668	205.766422	14.207016	0.021212	0.7
451	-0.752400	206.766422	14.144640	0.019931	0.7
452	-0.748236	206.293500	14.174070	0.026988	0.7
453	-0.767366	207.293500	14.111983	0.021385	0.7
454	-0.736241	208.293500	14.050438	0.019520	0.7
455	-0.752573	209.282978	13.990066	0.026689	0.6
456	-0.773103	210.280912	13.929702	0.028963	0.7
457	-0.787070	211.280893	13.869734	0.020641	0.7
458	-0.729150	212.271485	13.810835	0.023711	0.7
459	-0.762376	211.511684	13.855966	0.022394	0.7
460	-0.764159	210.709086	13.903961	0.024470	0.7
461	-0.777311	211.684793	13.845658	0.021959	0.7
462	-0.753058	212.684793	13.786409	0.024142	1.0
463	-0.708717	213.684793	13.727664	0.022433	0.8
464	-0.755287	212.882028	13.774783	0.028478	1.0
465	-0.753980	213.882027	13.716137	0.025537	0.7
466	-0.742994	214.882027	13.657989	0.025264	0.7
467	-0.747063	215.882027	13.600331	0.020636	0.7
468	-0.726284	216.882027	13.543159	0.021862	0.7
469	-0.772278	216.217880	13.581076	0.022291	0.6
470	-0.736218	215.415098	13.627193	0.020308	0.7
471	-0.737558	216.415097	13.569795	0.017914	0.7
472	-0.715945	217.354309	13.516324	0.021250	0.8
473	-0.782786	218.345862	13.460329	0.022589	0.7
474	-0.733042	217.543080	13.505628	0.025763	0.7
475	-0.748472	216.766300	13.549751	0.021691	0.7
476	-0.768509	217.766300	13.493002	0.019009	0.6
477	-0.740948	217.008483	13.535963	0.025366	0.7
478	-0.780777	216.460828	13.567181	0.022970	0.7
479	-0.768004	215.681878	13.611833	0.023607	0.8
480	-0.699887	214.879454	13.658138	0.030288	0.7
481	-0.758116	215.879454	13.600479	0.023673	0.7
482	-0.805368	216.879454	13.543305	0.031423	0.7
483	-0.747578	217.879454	13.486610	0.022658	0.7
484	-0.732981	218.879454	13.430388	0.025758	0.7
485	-0.751201	219.879409	13.374635	0.023570	0.7
486	-0.767760	219.081573	13.419081	0.024616	0.7
487	-0.751911	218.808985	13.434334	0.023580	0.7
488	-0.736164	219.808985	13.378546	0.022739	0.7
489	-0.728742	219.006203	13.423295	0.026865	0.7
490	-0.747154	218.203445	13.468343	0.023315	0.6
491	-0.775824	219.203440	13.412273	0.022994	0.7
492	-0.756211	220.203436	13.356667	0.020755	0.7
493	-0.726040	219.400654	13.401270	0.018787	0.8
494	-0.744779	218.599600	13.446075	0.025642	0.8
495	-0.752261	219.598864	13.390230	0.028689	0.8
496	-0.756146	220.598864	13.334806	0.020651	0.7
497	-0.761247	221.598782	13.279844	0.029389	0.7
498	-0.759564	222.598679	13.225335	0.022055	0.7
499	-0.759505	223.598679	13.171265	0.023737	0.7
